classify,name,comment,star,price,address,commentlist
美食,望蓉城老坛酸菜鱼(合生汇店),我要点评,该商户暂无星级,人均                                        ￥125,翔殷路1099号合生汇5F,口味8.3                                环境8.4                                服务8.5
美食,泰国街边料理,74                    条点评,准四星商户,人均                                        ￥48,黄兴路合生汇B2美食集市内,口味7.4                                环境7.6                                服务7.4
美食,壹面如故(苏宁生活广场店),265                    条点评,准四星商户,人均                                        ￥21,邯郸路585号苏宁生活广场B1层,口味7.0                                环境7.2                                服务7.2
美食,鮨谷•Aburiya(合生汇店),2748                    条点评,准五星商户,人均                                        ￥142,翔殷路1099号合生广场5楼23、28铺位,口味8.9                                环境8.5                                服务8.4
美食,我们的烤肉我们的馕,5                    条点评,准四星商户,人均                                    -,邯郸路399-D3号,口味7.5                                环境6.8                                服务7.5
美食,麦当劳(万达店),785                    条点评,准四星商户,人均                                        ￥24,邯郸路600号万达商业广场B1楼A05号铺,口味7.4                                环境7.2                                服务7.2
美食,蒸年青STEAMYOUNG(百联又一城购物中心店),3779                    条点评,准五星商户,人均                                        ￥70,淞沪路8号百联又一城购物中心7层,口味8.6                                环境8.6                                服务8.6
美食,丸来玩趣(百联又一城购物中心店),458                    条点评,准四星商户,人均                                        ￥14,淞沪路8号百联又一城购物中心B1层,口味7.0                                环境6.5                                服务6.5
美食,韩国雪冰(合生汇店),1280                    条点评,四星商户,人均                                        ￥47,翔殷路1099号合生汇4F,口味7.7                                环境7.5                                服务7.6
美食,小菜园新徽菜(五角场万达广场店),85                    条点评,准五星商户,人均                                        ￥81,邯郸路600号万达商业广场特力时尚汇3层,口味8.5                                环境8.9                                服务9.0
美食,生日聚汇(杨浦店),2                    条点评,准四星商户,人均                                    -,淞沪路8号百联又一城6楼,口味7.0                                环境7.0                                服务7.0
美食,阿满鸡排(合生汇店),30                    条点评,四星商户,人均                                        ￥17,翔殷路1099号合生汇4层,口味7.9                                环境8.0                                服务7.7
美食,莆田餐厅(百联又一城购物中心店),988                    条点评,四星商户,人均                                        ￥150,淞沪路8号百联又一城购物中心7层,口味8.0                                环境8.4                                服务8.0
美食,旬彩(百联又一城购物中心店),152                    条点评,准四星商户,人均                                        ￥16,淞沪路8号百联又一城购物中心B1层,口味7.2                                环境7.1                                服务7.2
美食,吴茂兴本帮面(五角场店),72                    条点评,准四星商户,人均                                        ￥21,政旦东路34号,口味7.4                                环境7.4                                服务7.6
美食,雀舞云南菜(合生汇店),3627                    条点评,四星商户,人均                                        ￥99,翔殷路1099号合生汇5F,口味8.0                                环境8.5                                服务8.6
美食,开心膳(joyeusesalade悦沙拉五角场店),4                    条点评,准四星商户,人均                                    -,邯郸路600号四楼D-001,口味7.4                                环境7.4                                服务7.4
美食,阳光客(城市集市合生汇店),336                    条点评,准四星商户,人均                                        ￥79,黄兴路2228号合生汇B2层城市集市C8商户,口味7.1                                环境7.6                                服务7.7
美食,越打星YuetDaSing(合生汇店),264                    条点评,四星商户,人均                                        ￥48,翔殷路1099号合生汇B2城市集市C9,口味8.0                                环境7.7                                服务7.8
美食,鲜榨果汁 Juice Bar(巴黎春天五角场店),4                    条点评,三星商户,人均                                    -,淞沪路1号巴黎春天B1层,口味6.8                                环境6.8                                服务6.9
